User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Paul,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Heyzeus,9,3,0,18,1,0,0,0,0,0,0,10,17,0,5,0,4,3,12,30,28,14,4,3,161
Sicachu,11,0,0,0,0,0,0,0,0,8,5,16,29,29,42,8,22,19,123,122,107,128,163,56,888
breezyexcursion,3,0,0,0,0,0,0,0,8,21,4,34,11,17,26,10,8,0,24,13,33,0,11,13,236
Fat Mac,8,3,0,0,0,0,0,0,0,7,7,1,0,0,0,0,13,0,0,0,0,0,0,14,53
NigerianKnightmare,12,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,51,34,5,0,0,111
renavlt,3,0,0,0,0,0,0,0,0,0,3,6,5,15,7,14,9,0,17,26,8,9,3,1,126
crackprosh,9,5,0,0,0,0,0,0,0,0,0,11,13,11,12,7,14,6,28,13,23,13,4,33,202
TK,8,19,0,0,0,0,0,0,0,0,0,3,0,58,56,39,44,4,72,104,59,63,34,6,569
teepan,1,6,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,17
Zeni,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
Armando,0,0,0,19,3,0,0,0,0,0,0,9,6,22,9,14,20,0,36,56,17,9,17,14,251
Lee🐧,0,0,0,6,0,0,0,0,0,0,0,0,0,10,4,3,3,0,13,12,2,2,9,5,69
Light,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7,0,0,0,0,50
soup,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,5,0,5,5,4,0,0,24
cdorner,0,0,0,0,0,2,0,0,0,0,2,4,0,0,9,0,0,0,17,0,0,0,0,0,34
Hiten,0,0,0,0,0,0,0,1,11,24,9,19,13,25,43,28,26,1,14,29,49,24,0,0,316
wlof aubro,0,0,0,0,0,0,0,0,4,4,8,36,29,46,37,9,12,1,27,73,11,43,14,0,354
Barinade88,0,0,0,0,0,0,0,0,17,27,14,0,7,55,51,9,26,0,37,6,0,0,36,29,314
Hosea,0,0,0,0,0,0,0,0,11,11,11,11,15,25,26,10,5,0,21,2,12,8,23,16,207
ChrasSC,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,20,0,0,0,0,3,43
MegaTech,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
bokchoiii,0,0,0,0,0,0,0,0,0,0,0,0,38,163,38,1,3,2,0,0,9,9,26,21,310
ari5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,8
Tatsu,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,1,0,16
Uglysteve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
TOTAL,78,39,0,48,11,2,1,3,51,120,65,162,183,488,373,165,248,41,464,553,398,334,346,214,4387
