User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
bokchoiii,2020-07-31,44,7,29,0,0,0,0,0,0,89,120,119,156,142,110,240,230,68,87,90,26,5,2,0,1564
Barinade88,2020-07-31,46,22,17,0,8,0,26,27,0,123,95,66,82,42,27,0,0,0,0,0,0,0,0,0,581
TK,2020-07-31,90,15,0,0,0,0,0,0,0,0,3,38,26,0,0,0,0,0,0,0,0,12,14,0,198
breezyexcursion,2020-07-31,8,0,0,0,0,0,0,0,0,15,10,63,0,0,1,0,0,46,9,24,37,20,17,0,250
Hiten,2020-07-31,16,0,0,0,0,0,0,0,0,80,68,111,52,14,26,7,18,12,75,34,20,24,21,22,600
Hosea,2020-07-31,24,22,5,0,0,0,38,26,1,48,27,33,12,24,15,0,0,23,7,8,20,3,0,1,337
crackprosh,2020-07-31,2,0,0,0,0,0,0,0,0,0,4,18,25,15,22,7,16,21,6,0,7,3,0,0,146
Vulgorn,2020-07-31,7,1,10,0,1,0,0,0,0,24,82,16,0,0,16,16,39,15,7,1,15,9,1,0,260
Tatsu,2020-07-31,1,0,0,0,0,0,0,0,0,1,3,5,1,2,2,1,1,2,0,0,1,2,3,0,25
badname,2020-07-31,12,7,0,1,0,1,0,0,12,6,25,28,22,22,0,0,6,10,9,39,47,111,14,25,397
Armando,2020-07-31,26,7,7,0,14,0,0,0,0,0,0,0,22,58,33,17,18,11,20,0,16,26,0,0,275
Heyzeus,2020-07-31,3,0,0,0,0,0,0,0,0,4,29,38,19,8,7,8,8,10,1,5,4,6,0,0,150
zithers,2020-07-31,26,1,0,0,0,0,0,0,0,0,0,0,0,4,20,0,92,30,17,0,1,5,6,0,202
TheSwaggersaurus,2020-07-31,0,1,17,0,0,0,0,0,0,0,0,1,24,52,43,0,0,0,4,0,0,0,0,3,145
soup,2020-07-31,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,26,0,0,7,0,7,51
Sicachu,2020-07-31,0,0,0,0,1,0,0,0,4,18,105,83,0,53,64,79,90,16,17,46,53,43,0,0,672
cdorner,2020-07-31,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,18,12,14,41,21,0,111
teep,2020-07-31,0,0,0,0,0,2,0,0,4,10,11,0,0,1,0,92,107,0,0,0,0,0,0,0,227
Uglysteve,2020-07-31,0,0,0,0,0,0,0,7,0,7,2,6,1,0,1,1,0,0,0,0,15,26,0,0,66
renavlt,2020-07-31,0,0,0,0,0,0,0,0,2,11,21,30,14,2,11,12,4,7,25,14,6,7,4,0,170
ari5,2020-07-31,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,3,1,2,0,2,1,3,0,0,22
Paul,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,9,24,9,14,2,0,1,0,0,68
DEKMS,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,48,0,0,0,0,0,0,0,129
Drewnami,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,0,0,2,4,0,0,0,25
GitHub,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NigerianKnightmare,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TOTAL,2020-07-31,305,83,86,1,24,4,66,60,33,437,610,657,465,439,412,581,703,282,342,279,287,354,104,60,6674
