User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
cdorner,7,0,0,0,0,0,0,0,1,3,5,4,0,10,0,3,1,5,0,3,0,0,0,1,43
Armando,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55,21,16,19,17,8,19,21,235
Hiten,4,0,0,0,0,0,0,0,4,14,13,10,16,0,8,19,5,26,1,8,3,10,15,50,206
Sicachu,14,0,0,0,0,0,0,0,0,0,1,3,24,74,4,31,15,9,0,35,11,12,24,5,262
zithers,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10
crackprosh,10,16,3,0,0,0,0,0,0,0,0,7,27,20,36,20,4,24,8,1,9,35,31,74,325
Chucky2sRevenge,17,1,2,0,0,0,0,0,0,0,0,0,6,2,13,7,5,0,1,9,11,3,1,1,79
Heyzeus,3,3,0,0,0,0,0,0,0,0,7,1,8,7,6,2,8,1,2,16,16,12,4,7,103
TK,11,5,1,0,0,0,0,0,0,0,5,9,43,14,43,0,19,0,3,8,30,0,20,53,264
soup,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,1,12,13,14,32,20,121
NigerianKnightmare,0,1,0,0,0,0,0,0,0,0,0,0,0,105,25,12,4,17,11,14,0,0,7,0,196
TheSwaggersaurus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hosea,0,0,0,0,0,1,0,0,1,0,4,9,20,14,21,7,39,0,2,6,4,1,14,33,176
Fat Mac,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,11,19,0,0,0,0,0,0,0,39
wlof aubro,0,0,0,0,0,0,0,0,2,24,14,5,21,50,9,7,10,8,2,16,30,10,3,1,212
breezyexcursion,0,0,0,0,0,0,0,0,0,15,1,0,0,28,2,0,1,0,0,0,4,0,19,32,102
East,0,0,0,0,0,0,0,0,0,1,0,0,3,37,1,2,14,0,3,0,0,0,0,0,61
renavlt,0,0,0,0,0,0,0,0,0,1,0,1,4,4,1,3,11,9,1,3,4,5,12,12,71
Uglysteve,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,22,13,2,0,0,0,0,0,54
ari5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,0,0,1,0,1,2,15
Lee🐧,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,8,1,3,1,0,1,1,0,2,30
Barinade88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,0,0,0,0,13,33,70
bokchoiii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,47,0,0,1,0,0,0,86
Zeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0,0,3,0,0,0,53
teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Tatsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,29
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
John🦴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,17
lapiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,117,145
BatmanVonDoom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,68,79
TOTAL,98,45,6,0,0,1,0,1,8,59,55,49,183,381,185,175,328,215,54,162,165,111,281,532,3094
