User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
crackprosh,4,2,0,0,0,0,0,0,0,0,0,17,43,19,52,15,15,6,14,0,0,0,0,0,187
Armando,7,7,1,0,2,0,0,0,0,0,0,0,1,22,14,11,0,20,6,0,0,0,0,0,91
MrMallard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hiten,2,0,0,0,0,0,0,0,4,5,9,17,8,19,40,26,16,9,0,0,0,0,0,0,155
Barinade88,5,3,0,0,0,0,0,0,0,1,0,0,0,40,50,50,55,18,11,0,0,0,0,0,233
Chucky2sRevenge,1,1,0,0,0,0,0,0,0,0,0,5,14,3,0,22,7,0,0,0,0,0,0,0,53
Lee🐧,1,1,0,0,0,0,0,0,0,0,0,0,0,6,5,10,0,3,0,0,0,0,0,0,26
teepan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2,0,0,0,0,0,0,0,0,3,13,0,0,0,1,7,1,0,0,0,0,0,0,0,27
Heyzeus,1,0,1,0,0,0,0,0,0,0,0,8,12,9,24,4,11,4,1,0,0,0,0,0,75
zithers,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TK,0,0,2,0,0,0,0,0,0,0,0,2,0,7,2,10,1,0,0,0,0,0,0,0,24
Sicachu,0,0,0,0,0,0,0,1,0,1,0,36,61,34,34,16,53,27,2,0,0,0,0,0,265
wlof aubro,0,0,0,0,0,0,0,5,0,17,28,13,4,12,0,2,9,11,3,0,0,0,0,0,104
cdorner,0,0,0,0,0,0,0,3,0,0,5,2,0,14,0,2,0,5,12,0,0,0,0,0,43
NigerianKnightmare,0,0,0,0,0,0,0,0,1,0,6,38,0,0,0,9,2,3,0,0,0,0,0,0,59
Hosea,0,0,0,0,0,0,0,0,0,5,12,7,4,24,19,17,24,1,5,0,0,0,0,0,118
ari5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,1,0,0,0,0,0,0,0,9
breezyexcursion,0,0,0,0,0,0,0,0,0,1,11,10,2,0,13,2,4,2,5,0,0,0,0,0,50
renavlt,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,13,12,9,5,0,0,0,0,0,54
bokchoiii,0,0,0,0,0,0,0,0,0,0,7,47,191,74,49,44,23,12,0,0,0,0,0,0,447
Zeni,0,0,0,0,0,0,0,0,0,0,4,5,11,10,16,0,0,0,0,0,0,0,0,0,46
Tatsu,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,1,0,0,0,0,0,0,13
MegaTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL,25,17,4,0,2,0,0,9,5,34,97,207,352,306,332,266,234,137,65,0,0,0,0,0,2092
