User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
NigerianKnightmare,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,3,2,0,0,4,2,46
cdorner,22,3,0,0,0,0,0,0,1,20,15,0,2,9,4,1,0,2,6,6,10,2,0,0,103
Armando,41,3,0,0,0,0,0,0,2,2,0,0,11,0,5,25,21,9,1,22,53,59,4,0,258
Sicachu,14,69,3,8,0,0,0,0,0,15,17,6,20,2,11,5,16,57,38,21,30,33,21,3,389
Hiten,10,2,0,0,0,0,0,0,0,13,22,26,6,3,3,2,2,14,5,26,15,38,4,2,193
zithers,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
znnsk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Lee🐧,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,5,4,10,5,5,0,58
bokchoiii,8,3,13,13,2,0,0,0,0,0,0,0,0,0,14,23,4,38,0,0,12,44,3,4,181
TK,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,4,59
teepan,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,14
Fat Mac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
Tatsu,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,10
Heyzeus,0,8,1,9,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,8,3,5,1,0,44
Hosea,0,22,0,0,0,0,0,0,3,5,38,14,12,2,0,0,12,36,32,2,20,21,15,0,234
crackprosh,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,21
ari5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
ChrasSC,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,31
breezyexcursion,0,0,1,0,0,0,0,0,0,0,2,10,3,2,0,3,1,0,0,8,4,0,9,2,45
soup,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,25
wlof aubro,0,0,0,0,4,0,0,0,0,8,28,17,21,13,3,3,15,22,34,4,20,5,0,0,197
renavlt,0,0,0,0,0,0,0,0,0,0,2,3,4,0,4,1,3,7,3,0,18,6,2,0,53
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,0,0,0,13
Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,10
Zeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5
Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,126,11,1,0,0,0,0,147
TOTAL,140,172,24,40,15,0,0,0,6,63,125,85,85,32,49,70,103,332,145,151,203,228,72,19,2159
